iter	Passed	Remaining
0	158	158092
1	163	81823
2	169	56394
3	175	43623
4	180	36008
5	186	30906
6	192	27291
7	198	24559
8	203	22429
9	210	20808
10	216	19503
11	223	18419
12	231	17549
13	236	16679
14	242	15920
15	248	15290
16	254	14725
17	260	14219
18	266	13758
19	272	13349
20	278	12974
21	284	12639
22	290	12327
23	296	12044
24	302	11781
25	307	11536
26	314	11318
27	320	11109
28	326	10922
29	332	10745
30	338	10569
31	344	10417
32	350	10271
33	356	10130
34	362	9994
35	368	9864
36	374	9740
37	380	9624
38	386	9513
39	391	9407
40	397	9305
41	404	9220
42	410	9130
43	416	9044
44	423	8980
45	430	8920
46	449	9112
47	455	9042
48	462	8971
49	468	8899
50	474	8831
51	480	8766
52	486	8700
53	493	8638
54	499	8578
55	505	8523
56	511	8465
57	517	8411
58	524	8361
59	530	8309
60	536	8258
61	542	8211
62	548	8165
63	555	8124
64	561	8080
65	567	8035
66	574	7993
67	580	7950
68	586	7911
69	592	7870
70	598	7828
71	604	7789
72	610	7752
73	617	7721
74	624	7698
75	630	7669
76	638	7649
77	644	7613
78	649	7577
79	656	7545
80	662	7513
81	668	7482
82	674	7450
83	680	7418
84	686	7388
85	692	7361
86	698	7331
87	705	7306
88	711	7278
89	717	7252
90	723	7224
91	729	7196
92	735	7169
93	741	7143
94	747	7119
95	753	7094
96	759	7070
97	765	7047
98	771	7025
99	777	7001
100	783	6977
101	790	6955
102	796	6932
103	802	6912
104	808	6889
105	814	6869
106	820	6851
107	826	6828
108	832	6808
109	839	6791
110	845	6774
111	852	6761
112	858	6738
113	864	6721
114	870	6699
115	876	6680
116	882	6661
117	888	6641
118	894	6620
119	900	6601
120	906	6582
121	911	6563
122	917	6543
123	923	6523
124	929	6507
125	935	6490
126	941	6470
127	947	6458
128	953	6439
129	959	6421
130	965	6402
131	970	6384
132	976	6365
133	982	6347
134	987	6329
135	993	6313
136	999	6295
137	1005	6277
138	1010	6260
139	1016	6242
140	1022	6226
141	1029	6218
142	1036	6209
143	1042	6194
144	1048	6183
145	1054	6168
146	1063	6170
147	1069	6157
148	1076	6145
149	1081	6131
150	1087	6116
151	1094	6105
152	1100	6092
153	1106	6079
154	1112	6066
155	1118	6053
156	1125	6041
157	1131	6029
158	1137	6015
159	1144	6007
160	1150	5996
161	1156	5983
162	1162	5971
163	1168	5957
164	1174	5945
165	1180	5932
166	1186	5919
167	1192	5906
168	1198	5893
169	1204	5880
170	1210	5867
171	1216	5855
172	1222	5842
173	1228	5830
174	1234	5817
175	1240	5809
176	1247	5802
177	1255	5796
178	1261	5783
179	1267	5771
180	1273	5761
181	1279	5750
182	1285	5738
183	1291	5728
184	1297	5717
185	1304	5706
186	1309	5695
187	1315	5683
188	1322	5673
189	1328	5661
190	1334	5650
191	1340	5640
192	1346	5629
193	1352	5620
194	1358	5609
195	1364	5598
196	1371	5589
197	1377	5578
198	1383	5567
199	1389	5557
200	1395	5546
201	1401	5536
202	1407	5526
203	1413	5515
204	1420	5506
205	1425	5496
206	1431	5485
207	1438	5475
208	1444	5465
209	1450	5455
210	1457	5449
211	1464	5443
212	1471	5438
213	1478	5431
214	1486	5425
215	1494	5423
216	1503	5425
217	1510	5417
218	1518	5413
219	1525	5409
220	1533	5404
221	1540	5399
222	1553	5412
223	1560	5405
224	1566	5395
225	1573	5387
226	1580	5382
227	1586	5373
228	1593	5366
229	1600	5357
230	1607	5351
231	1614	5343
232	1621	5336
233	1628	5331
234	1636	5326
235	1643	5320
236	1650	5313
237	1657	5308
238	1665	5302
239	1673	5297
240	1680	5292
241	1687	5286
242	1694	5279
243	1701	5271
244	1708	5264
245	1714	5256
246	1721	5248
247	1728	5240
248	1734	5232
249	1741	5223
250	1747	5214
251	1753	5205
252	1760	5197
253	1766	5187
254	1772	5179
255	1779	5170
256	1785	5162
257	1792	5153
258	1798	5145
259	1805	5137
260	1811	5128
261	1817	5119
262	1823	5110
263	1829	5101
264	1835	5091
265	1842	5083
266	1848	5074
267	1854	5065
268	1861	5057
269	1867	5049
270	1873	5040
271	1880	5033
272	1887	5026
273	1893	5018
274	1899	5008
275	1906	5000
276	1912	4990
277	1918	4981
278	1924	4973
279	1930	4964
280	1936	4955
281	1942	4946
282	1949	4939
283	1956	4932
284	1963	4925
285	1969	4916
286	1976	4909
287	1983	4903
288	1989	4895
289	1997	4889
290	2003	4881
291	2009	4873
292	2016	4866
293	2023	4859
294	2030	4851
295	2036	4843
296	2043	4837
297	2050	4830
298	2057	4823
299	2064	4818
300	2071	4809
301	2078	4804
302	2085	4796
303	2091	4788
304	2098	4781
305	2104	4773
306	2111	4766
307	2117	4757
308	2124	4750
309	2131	4743
310	2137	4735
311	2144	4729
312	2150	4720
313	2158	4714
314	2164	4706
315	2170	4698
316	2177	4691
317	2183	4683
318	2190	4675
319	2195	4666
320	2202	4657
321	2207	4649
322	2213	4640
323	2219	4630
324	2225	4622
325	2231	4613
326	2237	4604
327	2243	4595
328	2249	4587
329	2255	4578
330	2260	4569
331	2266	4560
332	2273	4553
333	2279	4545
334	2286	4538
335	2293	4531
336	2299	4523
337	2305	4515
338	2311	4507
339	2317	4498
